"%Inc Armour from Tree","방어 증가%(트리)"
"Anomalous Second Wind","기묘한 새로운 활력 보조"
"Anomalous Seismic Cry","기묘한 지진 함성"
"Phantasmal Seismic Cry","몽환적인 지진 함성"
"Divergent Seismic Trap","상이한 지진 덫"
"Anomalous Shattering Steel","기묘한 강철 파편"
"Phantasmal Shattering Steel","몽환적인 강철 파편"
"Divergent Shield Charge","상이한 방패 돌진"
"Divergent Shock Nova","상이한 충격 폭발"
"Divergent Shockwave","상이한 충격파 보조"
"Divergent Shockwave Totem","상이한 충격파 토템"
"Anomalous Shrapnel Ballista","기묘한 파편 쇠뇌"
"Phantasmal Shrapnel Ballista","몽환적인 파편 쇠뇌"
"Divergent Siege Ballista","상이한 공성 쇠뇌"
"Anomalous Sigil of Power","기묘한 힘의 부적"
"Phantasmal Sigil of Power","몽환적인 힘의 부적"
"Divergent Siphoning Trap","상이한 착취 덫"
"Anomalous Slower Projectiles","기묘한 투사체 감속 보조"
"Anomalous Smite","기묘한 강타"
"Phantasmal Smite","몽환적인 강타"
"Divergent Smoke Mine","상이한 연막 지뢰"
"Divergent Sniper's Mark","상이한 저격수의 징표"
"Divergent Soulrend","상이한 영혼 분리"
"Anomalous Spark","기묘한 전기불꽃"
"Phantasmal Spark","몽환적인 전기불꽃"
"Divergent Spectral Shield Throw","상이한 환영 방패 투척"
"Anomalous Spectral Throw","기묘한 환영 무기 투척"
"Anomalous Spell Cascade","기묘한 연속 주문 보조"
"Anomalous Spell Echo","기묘한 주문 메아리 보조"
"Anomalous Spell Totem","기묘한 주문 토템 보조"
"Anomalous Spellslinger","기묘한 주문투척"
"Anomalous Spirit Offering","기묘한 영혼 공물"
"Anomalous Split Arrow","기묘한 분할 화살"
"Anomalous Splitting Steel","기묘한 강철 분할"
"Phantasmal Splitting Steel","몽환적인 강철 분할"
"Divergent Static Strike","상이한 정전기 타격"
"Anomalous Steelskin","기묘한 강철피부"
"Anomalous Storm Brand","기묘한 폭풍의 낙인"
"Phantasmal Storm Brand","몽환적인 폭풍의 낙인"
"Divergent Storm Burst","상이한 폭풍 점사"
"Divergent Storm Call","상이한 폭풍 부름"
"Anomalous Stormbind","기묘한 폭풍연대"
"Phantasmal Stormbind","몽환적인 폭풍연대"
"Divergent Stormblast Mine","상이한 태풍 파열 지뢰"
"Anomalous Stun","기묘한 기절 보조"
"Anomalous Summon Carrion Golem","기묘한 부패 골렘 소환"
"Anomalous Summon Chaos Golem","기묘한 카오스 골렘 소환"
"Anomalous Summon Flame Golem","기묘한 화염 골렘 소환"
"Anomalous Summon Holy Relic","기묘한 신성한 유물 소환"
"Anomalous Summon Ice Golem","기묘한 얼음 골렘 소환"
"Anomalous Summon Lightning Golem","기묘한 번개 골렘 소환"
"Anomalous Summon Phantasm","기묘한 환영 소환 보조"
"Anomalous Summon Raging Spirit","기묘한 격노의 유령 소환"
"Phantasmal Summon Raging Spirit","몽환적인 격노의 유령 소환"
"Divergent Summon Skeletons","상이한 해골 소환"
"Anomalous Summon Skitterbots","기묘한 원격 기폭 장치 소환"
"Anomalous Summon Stone Golem","기묘한 돌 골렘 소환"
"Anomalous Sunder","기묘한 산산조각"
"Phantasmal Sunder","몽환적인 산산조각"
"Divergent Sweep","상이한 휩쓸기"
"Anomalous Swift Affliction","기묘한 고통 격화 보조"
"Anomalous Swift Assembly","기묘한 재빠른 조립 보조"
"Anomalous Swiftbrand","기묘한 재빠른 낙인 보조"
"Anomalous Tectonic Slam","기묘한 지층 강타"
"Phantasmal Tectonic Slam","몽환적인 지층 강타"
"Divergent Tempest Shield","상이한 폭풍의 방패"
"Divergent Temporal Chains","상이한 시간의 사슬"
"Divergent Tornado Shot","상이한 회오리 사격"
"Divergent Toxic Rain","상이한 맹독성 비"
"Anomalous Trap","기묘한 덫 보조"
"Anomalous Trap and Mine Damage","기묘한 덫 및 지뢰 피해 보조"
"Anomalous Trinity","기묘한 삼위일체 보조"
"Anomalous Unbound Ailments","기묘한 벌어지는 상처 보조"
"Anomalous Unearth","기묘한 발굴"
"Phantasmal Unearth","몽환적인 발굴"
"Divergent Unleash","상이한 촉발 보조"
"Divergent Urgent Orders","상이한 긴급 명령 보조"
"Divergent Vaal Ancestral Warchief","상이한 바알 선대 대전사"
"Anomalous Vaal Arc","기묘한 바알 연쇄 번개"
"Phantasmal Vaal Arc","몽환적인 바알 연쇄 번개"
"Divergent Vaal Blade Vortex","상이한 바알 칼날 소용돌이"
"Anomalous Vaal Blight","기묘한 바알 황폐"
"Anomalous Vaal Breach","기묘한 바알 균열"
"Divergent Vaal Burning Arrow","상이한 바알 불타는 화살"
"Divergent Vaal Clarity","상이한 바알 명상"
"Divergent Vaal Cold Snap","상이한 바알 한파"
"Divergent Vaal Cyclone","상이한 바알 회오리바람"
"Anomalous Vaal Detonate Dead","기묘한 바알 시체 폭발"
"Anomalous Vaal Discipline","기묘한 바알 단련"
"Anomalous Vaal Double Strike","기묘한 바알 이중 타격"
"Anomalous Vaal Earthquake","기묘한 바알 지진"
"Phantasmal Vaal Earthquake","몽환적인 바알 지진"
"Divergent Vaal Fireball","상이한 바알 화염구"
"Anomalous Vaal Flameblast","기묘한 바알 화염파"
"Phantasmal Vaal Flameblast","몽환적인 바알 화염파"
"Divergent Vaal Glacial Hammer","상이한 바알 빙하 망치"
"Divergent Vaal Grace","상이한 바알 은총"
"Divergent Vaal Ground Slam","상이한 바알 대지 강타"
"Divergent Vaal Haste","상이한 바알 가속"
"Anomalous Vaal Ice Nova","기묘한 바알 얼음 폭발"
"Phantasmal Vaal Ice Nova","몽환적인 바알 얼음 폭발"
"Divergent Vaal Immortal Call","상이한 바알 불멸의 외침"
"Divergent Vaal Impurity of Fire","상이한 바알 불의 부정함"
"Divergent Vaal Impurity of Ice","상이한 바알 얼음의 부정함"
"Divergent Vaal Impurity of Lightning","상이한 바알 번개의 부정함"
"Divergent Vaal Lightning Strike","상이한 바알 번개 타격"
"Anomalous Vaal Lightning Trap","기묘한 바알 번개 덫"
"Anomalous Vaal Lightning Warp","기묘한 바알 번개 차원 이동"
"Phantasmal Vaal Lightning Warp","몽환적인 바알 번개 차원 이동"
"Divergent Vaal Molten Shell","상이한 바알 용암 방패"
"Divergent Vaal Power Siphon","상이한 바알 권능 착취"
"Divergent Vaal Rain of Arrows","상이한 바알 화살비"
"Anomalous Vaal Reave","기묘한 바알 약탈"
"Phantasmal Vaal Reave","몽환적인 바알 약탈"
"Divergent Vaal Righteous Fire","상이한 바알 정의의 화염"
"Divergent Vaal Spark","상이한 바알 전기불꽃"
"Anomalous Vaal Spectral Throw","기묘한 바알 환영 무기 투척"
"Anomalous Vaal Storm Call","기묘한 바알 폭풍 부름"
"Phantasmal Vaal Storm Call","몽환적인 바알 폭풍 부름"
"Divergent Vaal Summon Skeletons","상이한 바알 해골 소환"
"Anomalous Vengeance","기묘한 복수"
"Phantasmal Vengeance","몽환적인 복수"
"Divergent Venom Gyre","상이한 독액 선회"
"Divergent Vicious Projectiles","상이한 포악한 투사체 보조"
"Divergent Vigilant Strike","상이한 경계 타격"
"Anomalous Vile Toxins","기묘한 끔찍한 독소 보조"
"Anomalous Viper Strike","기묘한 맹독 타격"
"Phantasmal Viper Strike","몽환적인 맹독 타격"
"Divergent Vitality","상이한 활력"
"Divergent Void Manipulation","상이한 공허 조작 보조"
"Divergent Void Sphere","상이한 공허 구체"
"Anomalous Volatile Dead","기묘한 시체 불덩이"
"Anomalous Volley","기묘한 사격 공세 보조"
"Anomalous Vortex","기묘한 소용돌이"
"Phantasmal Vortex","몽환적인 소용돌이"
"Divergent Vulnerability","상이한 취약성"
"Divergent War Banner","상이한 전쟁 깃발"
"Divergent Warlord's Mark","상이한 전쟁군주의 징표"
"Divergent Wave of Conviction","상이한 신념의 파도"
"Anomalous Whirling Blades","기묘한 칼날 선회"
"Anomalous Wild Strike","기묘한 사나운 타격"
"Phantasmal Wild Strike","몽환적인 사나운 타격"
"Divergent Winter Orb","상이한 겨울 보주"
"Anomalous Wintertide Brand","기묘한 겨울의 낙인"
"Anomalous Wither","기묘한 위축"
"Anomalous Withering Step","기묘한 고사시키는 걸음"
"Anomalous Withering Touch","기묘한 위축의 손길 보조"
"Anomalous Wrath","기묘한 진노"
"Anomalous Zealotry","기묘한 열광"
"Throws a trap that damages and immobilises a","Bear Trap. 일정 시간 동안 단일 적을"
"damage was dealt. After the immobilise expires, a","지속시간은 받은 피해량에 비례합니다. 덫에서"
"lowering their movement speed by an amount which","감소하지만, 시간이 지나면서 서서히 회복됩니다."
"increased damage from traps and mines until the","지뢰로부터 받는 피해가 증가합니다. 주문"
"affect this skill's damage.","주지 않습니다."
"{0}% chance to Impale Enemies on Hit","명중 시 {0}%의 확률로 적 꿰뚫음"
"damage. When you kill an enemy while you have this","증폭시키는 버프를 부여하며, 효과를 받는 동안"
"refresh the duration and life of an existing one","이미 소환된 파수꾼의 수가 최대치라면 기존 파수꾼"
"The Sentinels of Purity have a single-target melee","파수꾼은 단일 대상에 근접 공격을 하거나 근접"
"Creates a crystal that pulses with cold for a","Frost Bomb. 일정 시간 동안 냉기로"
"enemies for a secondary duration which reduces life","주변의 적들에게 별도의 지속시간이 생기는"
"energy shield recharge rate, and also inflicts Cold","보호막 재생 속도, 에너지 보호막 재충전"
"explodes, dealing heavy cold damage to enemies around","수정의 지속시간이 종료되면, 폭발하여 주변의"
"{0}% less Skill Effect Duration","스킬 효과 지속시간 {0}% 감폭"
"damaging enemies in a cone-shaped area over a","파도가 전방으로 뿜어지면서, 지속시간 동안 부채꼴"
"matching the element of which they took the","스킬에 피해를 받은 적들은 각자 가장 많은 피해를"
"be active at a time","신념의 파도는 한 번에 하나의 속성만 적용됩니다."
"Engulfs you in magical fire that rapidly burns you","Righteous Fire. 시전자의 생명력과 에너지 보호막을"
"substantially increased while under this effect. The","효과를 시전하는 동안 적에게 가하는 주문 피해가 상당히"
"Summons an Ice Golem that grants you increased","Summon Ice Golem. 시전자의 치명타 확률과"
"can use an icy barrage spell and a chilling spinning","얼음 골렘은 근접 공격과 함께 얼음 연발 사격,"
"Summoned Golems have {0}% increased Cooldown Recovery Rate","소환된 골렘의 재사용 대기시간 회복 속도 {0}% 증가"
"Create a sphere of water, or move an existing","Hydrosphere. 물로 된 구체를 생성하거나,"
"continually applies a drenched debuff with a short","구체는 범위 내의 적들이나 통과하는 적들에게 지속적"
"through. You can hit the sphere with other skills to","다른 스킬로 구체를 적중시키면 (냉각이 아닌) 냉기"
"The sphere pulses when created, at regular intervals","생성되면 상태 이상이 적용되어 있는 동안 일정 간격으로"
"damaging all drenched enemies in a large area.","흠뻑 젖은 모든 적에게 피해를 줍니다."
"Damage Reduction. The Chaos Golem can use a","피해를 감소시켜주는 카오스 골렘을 소환합니다. 카오스"
"Chaos spikes in addition to its melee attack.","근접 공격과 전방으로 뻗어나가는 카오스 가시를 발사합니다."
"regeneration. In addition to its melee attack, the","능력을 부여하는 돌 골렘을 소환합니다. 돌 골렘은 근접"
"slam that can taunt enemies.","사용합니다."
"physical damage for your non-golem minions. The","추가 물리 피해를 부여하는 부패 골렘을 소환합니다."
"increase in speed and damage, as well as a cascade","하며, 뼈다귀로 만들어진 가시를 폭포처럼 쏟아냅니다."
"your non-golem minions near it.","소환수의 수에 비례하여 증가합니다."
"detonated.","주는 지뢰를 투척합니다."
"to a maximum of {0}%","최대 {0}%까지 증가"
"detonated. These projectiles quickly dissipate as","투사체를 발사하는 지뢰를 투척합니다. 지뢰에서"
"Apply a powerful debuff to enemies around you","Vaal Blight. 시전자 주변에 디버프를"
"two additional layers in a larger area, growing","더 큰 범위로 2번의 디버프를 걸며 단계별로"
"substantially hindered for a shorter secondary","지속시간 동안 상당한 이동 방해를 받아 이동이"
"Apply a debuff to enemies in front of you which","Blight. 전방의 적들에게 디버프를 걸어 지속"
"already debuffed by Blight are also hindered for a","않은 적들은 이보다 짧은 별도의 지속시간 동안 이동"
"Continued channelling adds layers of damage to the","디버프가 중첩되어 지속 피해가 단계적으로 증가하며,"
"Throws a mine that deals damage in an area when","Pyroclast Mine. 폭발 시 범위 피해를"
"down around it, each dealing damage in a smaller","그 주변에 쏟아져 내리면서 개별적으로 작은 범위에"
"Create a wall of fire for a duration, which deals","Flame Wall. 일정 시간 동안 불꽃으로"
"enemy that enters the wall also receives a","화염 피해를 줍니다. 벽에 들어가는 적은 벽을"
"duration after leaving the wall. Any projectiles fired","디버프를 받습니다. 플레이어나 동료들이 발사하는"
"damage and apply the wall's secondary debuff on","추가되고, 명중 시 벽과 동일한 2차 화상"
"Unleash a beam of fire that burns enemies it","Scorching Ray. 적들에게 화상을 주는"
"burning, adding a portion of the beam's damage in","심해지며, 단계가 거듭될수록 광선의 피해가 추가됩니다."
"Enemies who leave the beam continue to burn for a","광선에서 벗어난 적들은 일정 시간 동안 화상이"
"rate at which the beam can turn.","속도도 빨라집니다."
"number of nearby enemies for a duration. The","근접한 적에게 디버프 광선을 시전하는 덫을"
"time. A beam is also applied to you, granting life","피해를 주는 동시에, 적에게 걸린 디버프 광선의"
"debuff beams affecting enemies.","얻습니다."
"attacks. If you shatter an enemy, this skill will","피해를 추가하는 버프를 부여합니다. 적을"
"enemies near them. This damage is not affected by","범위 냉기 피해를 줍니다. 이 피해는 주문 피해"
"Regenerate 1% of Mana per second if you've inflicted Exposure Recently","최근 4초 이내 노출을 유발했을 경우 1초마다 마나의 1% 재생"
"Damage. The Flame Golem can use a fire spray, a","공격의 피해를 증가시켜주는 화염 골렘을 소환합니다."
"projectile.","그리며 날아가는 폭발성 투사체를 사용합니다."
